id;nombre_empleado;apellido_empleado;telefono_empleado;correo_empleado
1;meanwhile aha;since coop though;than absent;record
2;garrote plus opposite;abaft yuck;coolly confide;deeply angrily
3;barge;determined;boohoo;almighty ew bleakly
4;catch;retract oh;piglet owlishly;majestically blah anti
5;aha;mmm backbone;neglected ick;quicker instead uselessly
6;gleefully bolster pick;unlike kookily minus;what hence;yowza pigsty
7;when mythology apud;sleepily jubilantly valiantly;with come;warmly fly above
8;quirkily reluctantly jot;youthfully;towards acidly;poorly before urgently
9;technologist aw eek;indeed;embody utilized;tattered an huzzah
10;massive;fen boiling marvelous;quintessential minus unlined;than scram
